#Source 	https://currentaffairs.adda247.com/countries-capital-and-currencies/
#Date	2023-12-11
#Key 	Country 	Capital 	Currency
Afghanistan 	Kabul 	Afghani
Albania 	Tirane 	Lek
Algeria 	Algiers 	Dinar
Andorra 	Andorra la Vella 	Euro
Angola 	Luanda 	New Kwanza
Antigua and Barbuda 	Saint John’s 	East Caribbean dollar
Argentina 	Buenos Aires 	Peso
Armenia 	Yerevan 	Dram
Australia 	Canberra 	Australian dollar
Austria 	Vienna 	Euro (formerly schilling)
Azerbaijan 	Baku 	Manat
The Bahamas 	Nassau 	Bahamian dollar
Bahrain 	Manama 	Bahrain dinar
Bangladesh 	Dhaka 	Taka
Barbados 	Bridgetown 	Barbados dollar
Belarus 	Minsk 	Belorussian ruble
Belgium 	Brussels 	Euro (formerly Belgian franc)
Belize 	Belmopan 	Belize dollar
Benin 	Porto-Novo 	CFA Franc
Bhutan 	Thimphu 	Ngultrum
Bolivia 	La Paz (administrative); Sucre (judicial) 	Boliviano
Bosnia and Herzegovina 	Sarajevo 	Convertible Mark
Botswana 	Gaborone 	Pula
Brazil 	Brasilia 	Real
Brunei 	Bandar Seri Begawan 	Brunei dollar
Bulgaria 	Sofia 	Lev
Burkina Faso 	Ouagadougou 	CFA Franc
Burundi 	Gitega 	Burundi franc
Cambodia 	Phnom Penh 	Riel
Cameroon 	Yaounde 	CFA Franc
Canada 	Ottawa 	Canadian dollar
Cape Verde 	Praia 	Cape Verdean escudo
Central African Republic 	Bangui 	CFA Franc
Chad 	N’Djamena 	CFA Franc
Chile 	Santiago 	Chilean Peso
China 	Beijing 	Chinese Yuan
Colombia 	Bogota 	Colombian Peso
Comoros 	Moroni 	Franc
Republic of the Congo 	Brazzaville 	CFA Franc
Zimbabwe 	Harare 	United States dollar
Costa Rica 	San Jose 	Colón
Cote d’Ivoire 	Yamoussoukro (official); Abidjan (de facto) 	CFA Franc
Croatia 	Zagreb 	Croatian
Cuba 	Havana 	Cuban Peso
Cyprus 	Nicosia 	Euro
Czech Republic 	Prague 	Koruna
Denmark 	Copenhagen 	Danish Krone
Djibouti 	Djibouti 	Djiboutian franc
Dominica 	Roseau 	East Caribbean dollar
Dominican Republic 	Santo Domingo 	Dominican Peso
East Timor (Timor-Leste) 	Dili 	U.S. dollar
Ecuador 	Quito 	U.S. dollar
Egypt 	Cairo 	Egyptian pound
El Salvador 	San Salvador 	Colón; U.S. dollar
Equatorial Guinea 	Malabo 	CFA Franc
Eritrea 	Asmara 	Nakfa
Estonia 	Tallinn 	Estonia Kroon; Euro
Ethiopia 	Addis Ababa 	Birr
Fiji 	Suva 	Fiji dollar
Finland 	Helsinki 	Euro (formerly markka)
France 	Paris 	Euro (formerly French franc)
Gabon 	Libreville 	CFA Franc
The Gambia 	Banjul 	Dalasi
Georgia 	Tbilisi 	Lari
Germany 	Berlin 	Euro (formerly Deutsche mark)
Ghana 	Accra 	Cedi
Greece 	Athens 	Euro (formerly drachma)
Grenada 	Saint George’s 	East Caribbean dollar
Guatemala 	Guatemala City 	Quetzal
Guinea 	Conakry 	Guinean franc
Guinea-Bissau 	Bissau 	CFA Franc
Guyana 	Georgetown 	Guyanese dollar
Haiti 	Port-au-Prince 	Gourde
Honduras 	Tegucigalpa 	Lempira
Hungary 	Budapest 	Forint
Iceland 	Reykjavik 	Icelandic króna
India 	New Delhi 	Indian Rupee
Indonesia 	Jakarta 	Rupiah
Iran 	Tehran 	Rial
Iraq 	Baghdad 	Iraqi Dinar
Ireland 	Dublin 	Euro (formerly Irish pound [punt])
Israel 	Jerusalem* 	Shekel
Italy 	Rome 	Euro (formerly lira)
Jamaica 	Kingston 	Jamaican dollar
Japan 	Tokyo 	Yen
Jordan 	Amman 	Jordanian dinar
Kazakhstan 	Nur Sultan 	Tenge
Kenya 	Nairobi 	Kenya shilling
Kiribati 	Tarawa Atoll 	Kiribati dollar
North Korea 	Pyongyang 	Won
South Korea 	Seoul 	Won
Kuwait 	Kuwait City 	Kuwaiti Dinar
Kyrgyzstan 	Bishkek 	Som
Laos 	Vientiane 	New Kip
Latvia 	Riga 	Lats
Lebanon 	Beirut 	Lebanese pound
Lesotho 	Maseru 	Maluti
Liberia 	Monrovia 	Liberian dollar
Libya 	Tripoli 	Libyan dinar
Liechtenstein 	Vaduz 	Swiss franc
Lithuania 	Vilnius 	Litas
Luxembourg 	Luxembourg 	Euro (formerly Luxembourg franc)
Macedonia 	Skopje 	Denar
Madagascar 	Antananarivo 	Malagasy Ariary
Malawi 	Lilongwe 	Kwacha
Malaysia 	Kuala Lumpur 	Ringgit
Maldives 	Male 	Rufiyaa
Mali 	Bamako 	CFA Franc
Malta 	Valletta 	Euro
Marshall Islands 	Majuro 	U.S. Dollar
Mauritania 	Nouakchott 	Ouguiya
Mauritius 	Port Louis 	Mauritian rupee
Mexico 	Mexico City 	Mexican peso
Federated States of Micronesia 	Palikir 	U.S. Dollar
Moldova 	Chisinau 	Leu
Monaco 	Monte Carlo 	Euro
Mongolia 	Ulaanbaatar 	Togrog
Montenegro 	Podgorica 	Euro
Morocco 	Rabat 	Dirham
Mozambique 	Maputo 	Metical
Myanmar (Burma) 	Nay Pyi Taw 	Kyat
Namibia 	Windhoek 	Namibian dollar
Nauru 	no official capital; government offices in Yaren District 	Australian dollar
Nepal 	Kathmandu 	Nepalese rupee
Netherlands 	Amsterdam; The Hague (seat of government) 	Euro (formerly guilder)
New Zealand 	Wellington 	New Zealand dollar
Nicaragua 	Managua 	Gold cordoba
Niger 	Niamey 	CFA Franc
Nigeria 	Abuja 	Naira
Norway 	Oslo 	Norwegian krone
Oman 	Muscat 	Omani rial
Pakistan 	Islamabad 	Pakistani rupee
Palau 	Melekeok 	U.S. dollar
Palestine 	Ramallah, East Jerusalem 	Palestine Pound
Panama 	Panama City 	Balboa; U.S. dollar
Papua New Guinea 	Port Moresby 	Kina
Paraguay 	Asuncion 	Guaraní
Peru 	Lima 	Nuevo sol (1991)
Philippines 	Manila 	Peso
Poland 	Warsaw 	Zloty
Portugal 	Lisbon 	Euro (formerly escudo)
Qatar 	Doha 	Qatari riyal
Romania 	Bucharest 	Romanian Rupee
Russia 	Moscow 	Ruble
Rwanda 	Kigali 	Rwandan franc
Saint Kitts and Nevis 	Basseterre 	East Caribbean dollar
Saint Lucia 	Castries 	East Caribbean dollar
Saint Vincent and the Grenadines 	Kingstown 	East Caribbean dollar
Samoa 	Apia 	Tala
San Marino 	San Marino 	Euro
Sao Tome and Principe 	Sao Tome 	Dobra
Saudi Arabia 	Riyadh 	Riyal
Senegal 	Dakar 	CFA Franc
Serbia 	Belgrade 	Serbian Dinar
Seychelles 	Victoria 	Seychelles rupee
Sierra Leone 	Freetown 	Leone
Singapore 	Singapore 	Singapore dollar
Slovakia 	Bratislava 	Euro
Slovenia 	Ljubljana 	Slovenian tolar; euro (as of 1/1/07)
Solomon Islands 	Honiara 	Solomon Islands dollar
Somalia 	Mogadishu 	Somali shilling
South Africa 	Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary) 	Rand
South Sudan 	Juba 	Sudanese Pound
Spain 	Madrid 	Euro (formerly peseta)
Sri Lanka 	Colombo; Sri Jayewardenepura Kotte (legislative) 	Sri Lankan rupee
Sudan 	Khartoum 	Sudanese Pound
Suriname 	Paramaribo 	Surinamese dollar
Swaziland 	Mbabane 	Lilangeni
Sweden 	Stockholm 	Krona
Switzerland 	Berne 	Swiss franc
Syria 	Damascus 	Syrian pound
Taiwan 	Taipei 	Taiwan dollar
Tajikistan 	Dushanbe 	somoni
Tanzania 	Dar es Salaam; Dodoma (legislative) 	Tanzanian shilling
Thailand 	Bangkok 	Baht
Togo 	Lome 	CFA Franc
Tonga 	Nuku’alofa 	Pa’anga
Trinidad and Tobago 	Port-of-Spain 	Trinidad and Tobago dollar
Tunisia 	Tunis 	Tunisian dinar
Turkey 	Ankara 	Turkish lira (YTL)
Turkmenistan 	Ashgabat 	Manat
Tuvalu 	Vaiaku village, Funafuti province 	Tuvaluan Dollar
Uganda 	Kampala 	Ugandan new shilling
Ukraine 	Kiev 	Hryvnia
United Arab Emirates 	Abu Dhabi 	U.A.E. Dirham
United Kingdom 	London 	Pound sterling
United States of America 	Washington D.C. 	Dollar
Uruguay 	Montevideo 	Uruguay peso
Uzbekistan 	Tashkent 	Uzbekistani sum
Vanuatu 	Port-Vila 	Vatu
Vatican City (Holy See) 	Vatican City 	Euro
Venezuela 	Caracas 	Bolivar
Vietnam 	Hanoi 	Dong
Yemen 	Sanaa 	Rial
Zambia 	Lusaka 	kwacha
