#Source		https://www.worldometers.info/geography/alphabetical-list-of-countries/
#Date	2023-12-10
#Key	Index	Country	Population (2023)	Land Area (Km²)	Density (P/Km²)
1	Afghanistan	42,239,854	652,860	65
2	Albania	2,832,439	27,400	103
3	Algeria	45,606,480	2,381,740	19
4	Andorra	80,088	470	170
5	Angola	36,684,202	1,246,700	29
6	Antigua and Barbuda	94,298	440	214
7	Argentina	45,773,884	2,736,690	17
8	Armenia	2,777,970	28,470	98
9	Australia	26,439,111	7,682,300	3
10	Austria	8,958,960	82,409	109
11	Azerbaijan	10,412,651	82,658	126
12	Bahamas	412,623	10,010	41
13	Bahrain	1,485,509	760	1,955
14	Bangladesh	172,954,319	130,170	1,329
15	Barbados	281,995	430	656
16	Belarus	9,498,238	202,910	47
17	Belgium	11,686,140	30,280	386
18	Belize	410,825	22,810	18
19	Benin	13,712,828	112,760	122
20	Bhutan	787,424	38,117	21
21	Bolivia	12,388,571	1,083,300	11
22	Bosnia and Herzegovina	3,210,847	51,000	63
23	Botswana	2,675,352	566,730	5
24	Brazil	216,422,446	8,358,140	26
25	Brunei	452,524	5,270	86
26	Bulgaria	6,687,717	108,560	62
27	Burkina Faso	23,251,485	273,600	85
28	Burundi	13,238,559	25,680	516
29	Côte d'Ivoire	28,873,034	318,000	91
30	Cabo Verde	598,682	4,030	149
31	Cambodia	16,944,826	176,520	96
32	Cameroon	28,647,293	472,710	61
33	Canada	38,781,291	9,093,510	4
34	Central African Republic	5,742,315	622,980	9
35	Chad	18,278,568	1,259,200	15
36	Chile	19,629,590	743,532	26
37	China	1,425,671,352	9,388,211	152
38	Colombia	52,085,168	1,109,500	47
39	Comoros	852,075	1,861	458
40	Congo (Congo-Brazzaville)	6,106,869	341,500	18
41	Costa Rica	5,212,173	51,060	102
42	Croatia	4,008,617	55,960	72
43	Cuba	11,194,449	106,440	105
44	Cyprus	1,260,138	9,240	136
45	Czechia (Czech Republic)	10,495,295	77,240	136
46	Democratic Republic of the Congo	102,262,808	2,267,050	45
47	Denmark	5,910,913	42,430	139
48	Djibouti	1,136,455	23,180	49
49	Dominica	73,040	750	97
50	Dominican Republic	11,332,972	48,320	235
51	Ecuador	18,190,484	248,360	73
52	Egypt	112,716,598	995,450	113
53	El Salvador	6,364,943	20,720	307
54	Equatorial Guinea	1,714,671	28,050	61
55	Eritrea	3,748,901	101,000	37
56	Estonia	1,322,765	42,390	31
57	Eswatini (fmr. "Swaziland")	1,210,822	17,200	70
58	Ethiopia	126,527,060	1,000,000	127
59	Fiji	936,375	18,270	51
60	Finland	5,545,475	303,890	18
61	France	64,756,584	547,557	118
62	Gabon	2,436,566	257,670	9
63	Gambia	2,773,168	10,120	274
64	Georgia	3,728,282	69,490	54
65	Germany	83,294,633	348,560	239
66	Ghana	34,121,985	227,540	150
67	Greece	10,341,277	128,900	80
68	Grenada	126,183	340	371
69	Guatemala	18,092,026	107,160	169
70	Guinea	14,190,612	245,720	58
71	Guinea-Bissau	2,150,842	28,120	76
72	Guyana	813,834	196,850	4
73	Haiti	11,724,763	27,560	425
74	Holy See	518	0	1,295
75	Honduras	10,593,798	111,890	95
76	Hungary	10,156,239	90,530	112
77	Iceland	375,318	100,250	4
78	India	1,428,627,663	2,973,190	481
79	Indonesia	277,534,122	1,811,570	153
80	Iran	89,172,767	1,628,550	55
81	Iraq	45,504,560	434,320	105
82	Ireland	5,056,935	68,890	73
83	Israel	9,174,520	21,640	424
84	Italy	58,870,762	294,140	200
85	Jamaica	2,825,544	10,830	261
86	Japan	123,294,513	364,555	338
87	Jordan	11,337,052	88,780	128
88	Kazakhstan	19,606,633	2,699,700	7
89	Kenya	55,100,586	569,140	97
90	Kiribati	133,515	810	165
91	Kuwait	4,310,108	17,820	242
92	Kyrgyzstan	6,735,347	191,800	35
93	Laos	7,633,779	230,800	33
94	Latvia	1,830,211	62,200	29
95	Lebanon	5,353,930	10,230	523
96	Lesotho	2,330,318	30,360	77
97	Liberia	5,418,377	96,320	56
98	Libya	6,888,388	1,759,540	4
99	Liechtenstein	39,584	160	247
100	Lithuania	2,718,352	62,674	43
101	Luxembourg	654,768	2,590	253
102	Madagascar	30,325,732	581,795	52
103	Malawi	20,931,751	94,280	222
104	Malaysia	34,308,525	328,550	104
105	Maldives	521,021	300	1,737
106	Mali	23,293,698	1,220,190	19
107	Malta	535,064	320	1,672
108	Marshall Islands	41,996	180	233
109	Mauritania	4,862,989	1,030,700	5
110	Mauritius	1,300,557	2,030	641
111	Mexico	128,455,567	1,943,950	66
112	Micronesia	544,321	700	778
113	Moldova	3,435,931	32,850	105
114	Monaco	36,297	1	24,360
115	Mongolia	3,447,157	1,553,560	2
116	Montenegro	626,485	13,450	47
117	Morocco	37,840,044	446,300	85
118	Mozambique	33,897,354	786,380	43
119	Myanmar (formerly Burma)	54,577,997	653,290	84
120	Namibia	2,604,172	823,290	3
121	Nauru	12,780	20	639
122	Nepal	30,896,590	143,350	216
123	Netherlands	17,618,299	33,720	522
124	New Zealand	5,228,100	263,310	20
125	Nicaragua	7,046,310	120,340	59
126	Niger	27,202,843	1,266,700	21
127	Nigeria	223,804,632	910,770	246
128	North Korea	26,160,821	120,410	217
